train/explained_variance,train/reward,time/total_timesteps,time/iterations,train/learning_rate,train/entropy_loss,time/fps,time/time_elapsed,train/policy_loss,train/value_loss,train/n_updates,train/std
-0.3277781009674072,,500,100,0.0007,-41.126243591308594,98,5,39.31619644165039,1.749650239944458,99,0.9994284510612488
0.025656282901763916,,1000,200,0.0007,-41.112525939941406,97,10,-105.52230072021484,7.430702209472656,199,0.9988045692443848
-1.1920928955078125e-07,,1500,300,0.0007,-41.04262924194336,92,16,39.63130569458008,1.8085029125213623,299,0.9966114163398743
0.0,,2000,400,0.0007,-41.02476119995117,87,22,-119.78739166259766,18.018983840942383,399,0.9961556792259216
5.960464477539063e-08,,2500,500,0.0007,-41.001338958740234,82,30,40.662689208984375,2.1225101947784424,499,0.9948685765266418
0.0,,3000,600,0.0007,-40.97788619995117,79,37,12.19334602355957,0.591964840888977,599,0.994233250617981
1.7881393432617188e-07,,3500,700,0.0007,-40.98659896850586,77,44,24.822315216064453,0.694330096244812,699,0.9947425127029419
0.0,,4000,800,0.0007,-41.01381301879883,76,52,182.35304260253906,34.555301666259766,799,0.9956373572349548
-1.1920928955078125e-07,,4500,900,0.0007,-41.07075500488281,75,59,6.4775543212890625,18.57419204711914,899,0.9975646734237671
1.7881393432617188e-07,,5000,1000,0.0007,-41.01240539550781,75,66,419.99688720703125,138.9436798095703,999,0.9954864382743835
-0.41520798206329346,,500,100,0.0007,-41.01164245605469,80,6,8.64098834991455,1.1257050037384033,1099,0.9956343173980713
0.04009515047073364,,1000,200,0.0007,-41.007999420166016,84,11,-163.34446716308594,16.691564559936523,1199,0.9952433109283447
0.0,,1500,300,0.0007,-41.00994873046875,85,17,-13.455194473266602,1.3366525173187256,1299,0.9956575036048889
0.0704718828201294,,2000,400,0.0007,-41.08080291748047,81,24,-223.58615112304688,47.69861602783203,1399,0.9981805682182312
-2.384185791015625e-07,,2500,500,0.0007,-41.11909484863281,79,31,-15.245468139648438,0.7101606130599976,1499,0.9992333054542542
0.0009575486183166504,,3000,600,0.0007,-41.047508239746094,80,37,2.8963284492492676,0.4631344676017761,1599,0.9967027306556702
-1.1920928955078125e-07,,3500,700,0.0007,-41.05586242675781,79,44,-5.761198997497559,0.12987515330314636,1699,0.9974491596221924
-1.1920928955078125e-07,,4000,800,0.0007,-41.13321304321289,79,50,173.97244262695312,42.35289764404297,1799,0.9996312856674194
0.0,,4500,900,0.0007,-41.083251953125,79,56,-135.17593383789062,39.8558349609375,1899,0.9981869459152222
0.0,,5000,1000,0.0007,-41.0257453918457,79,63,282.8854675292969,93.36123657226562,1999,0.9964878559112549
